segment_name,confidence_assessment,pydub_avg_loudness_dBFS,pydub_silence_%,librosa_avg_RMS,librosa_silence_%,librosa_avg_pitch_Hz,WebRTC_VAD_speech_%,WebRTC_VAD_silence_%,parselmouth_mean_pitch_Hz,parselmouth_jitter,parselmouth_shimmer,mediapipe_mouth_openness_mean,mediapipe_mouth_openness_variance,mediapipe_eyebrow_height_mean,mediapipe_eyebrow_height_variance,mediapipe_frames_analyzed,deepface_most_frequent_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_neutral,deepface_sad,deepface_surprise,openface_dominant_emotion_approx,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad,mediapipe_left_hand_variability,mediapipe_right_hand_variability,mediapipe_avg_hand_movement_amplitude,mediapipe_valid_frames_analyzed,mediapipe_total_frames,mediapipe_coverage_%,wpm
D9Ihs241zeg_seg026,4.0,-30.88,25.16,0.0399999991059303,13.33,1560.4200439453125,91.17,8.83,180.27,0.0285,0.1099,0.01767,0.0001,0.0345,4e-05,31.0,happy,6.5,0.0,19.4,35.5,29.0,9.7,0.0,happy,0.288,0.179,0.6,0.099,0.08,0.097,0.109,0.385,0.751,0.748,0.23,0.724,0.179,0.248,0.922,0.752,0.41,0.751,0.467,0.6,0.23,,,,,,,176.64
D9Ihs241zeg_seg027,3.0,-32.08,29.13,0.0366999991238117,17.11,1550.0699462890625,87.93,12.07,179.39,0.0241,0.1097,0.01524,8e-05,0.03542,6e-05,31.0,neutral,6.5,0.0,9.7,22.6,54.8,6.5,0.0,happy,0.292,0.261,0.135,0.088,0.035,0.075,0.105,0.642,0.674,0.973,0.27,0.716,0.141,0.15,0.821,0.454,0.394,0.674,0.553,0.135,0.27,0.00498,0.00509,0.32771,421.0,923.0,45.6,204.48
D9Ihs241zeg_seg028,3.0,-30.51,24.29,0.0421999990940094,13.44,1452.9300537109375,89.46,10.54,172.66,0.0239,0.0986,0.01022,0.0001,0.02734,0.0001,32.0,neutral,18.8,0.0,21.9,3.1,56.2,0.0,0.0,surprised,0.187,0.314,0.08,0.083,0.005,0.002,0.104,0.643,0.485,1.283,0.253,0.608,0.18,0.104,0.786,0.587,0.305,0.485,0.502,0.08,0.253,0.00056,0.00045,0.4153,507.0,947.0,53.5,148.05
D9Ihs241zeg_seg029,3.0,-30.76,24.76,0.0405000001192092,11.51,1551.1700439453125,88.79,11.21,178.75,0.025,0.1053,0.01407,7e-05,0.03543,2e-05,31.0,neutral,12.9,0.0,22.6,16.1,45.2,3.2,0.0,happy,0.231,0.217,0.091,0.082,0.005,0.008,0.098,0.383,0.612,0.539,0.226,0.811,0.17,0.181,0.884,0.609,0.294,0.612,0.448,0.091,0.226,,,,,,,166.18
D9Ihs241zeg_seg030,3.0,-32.25,29.65,0.0370000004768371,17.48,1547.719970703125,86.61,13.39,163.55,0.024,0.1018,0.01347,8e-05,0.033,3e-05,32.0,neutral,6.2,0.0,25.0,18.8,25.0,25.0,0.0,happy,0.256,0.245,0.214,0.069,0.005,0.041,0.095,0.542,0.758,0.652,0.256,0.693,0.148,0.122,0.721,0.455,0.339,0.758,0.501,0.214,0.256,,,,,,,149.95
D9Ihs241zeg_seg031,4.0,-33.18,33.33,0.0364000014960765,21.27,1469.4100341796875,83.35,16.65,172.71,0.0267,0.0966,0.01547,9e-05,0.0346,5e-05,33.0,neutral,0.0,0.0,12.1,6.1,60.6,21.2,0.0,happy,0.13,0.107,0.016,0.028,0.011,0.0,0.027,0.187,0.305,0.38,0.117,0.385,0.095,0.089,0.433,0.298,0.159,0.305,0.237,0.016,0.117,4e-05,0.00013,0.41505,114.0,961.0,11.9,158.93
eZj5n8ScTkI_seg000,3.0,-34.34,34.88,0.0436999984085559,26.61,1615.1400146484375,81.02,18.98,192.27,0.0226,0.1122,0.01768,0.00013,0.03969,3e-05,25.0,sad,24.0,0.0,8.0,12.0,20.0,36.0,0.0,sad,0.243,0.131,0.426,0.095,0.126,0.128,0.092,0.547,0.244,0.487,0.961,1.058,0.519,0.285,1.272,0.848,0.404,0.244,0.374,0.426,0.961,0.01061,0.01024,0.05255,197.0,721.0,27.3,141.76
eZj5n8ScTkI_seg001,3.0,-33.51,30.99,0.0439999997615814,22.83,1630.9300537109375,86.15,13.85,188.82,0.0221,0.1048,0.01039,5e-05,0.02284,1e-05,25.0,neutral,20.0,0.0,4.0,8.0,48.0,20.0,0.0,sad,0.659,0.256,0.588,0.092,0.057,0.147,0.128,0.38,0.143,0.199,1.691,1.335,0.337,0.199,1.17,1.186,0.359,0.143,0.915,0.588,1.691,0.00686,0.00773,0.26641,583.0,749.0,77.8,153.8
eZj5n8ScTkI_seg002,2.0,-34.02,34.42,0.0405000001192092,22.67,1621.0,85.16,14.84,189.17,0.0223,0.1122,0.01293,0.00015,0.02892,0.00013,25.0,sad,32.0,0.0,0.0,12.0,12.0,44.0,0.0,sad,0.552,0.202,0.52,0.075,0.059,0.161,0.112,0.543,0.103,0.138,1.208,1.501,0.448,0.27,1.268,0.866,0.346,0.103,0.755,0.52,1.208,0.00243,0.00132,0.24152,136.0,737.0,18.5,144.48
eZj5n8ScTkI_seg003,3.0,-30.49,23.42,0.050900001078844,17.28,1587.0799560546875,90.87,9.13,194.08,0.0219,0.1137,0.01164,5e-05,0.02324,1e-05,26.0,angry,42.3,0.0,7.7,11.5,26.9,7.7,3.8,sad,0.445,0.118,0.598,0.094,0.134,0.353,0.124,0.359,0.236,0.117,1.296,1.626,0.253,0.275,1.0,0.966,0.336,0.236,0.563,0.598,1.296,0.01305,0.00662,0.30506,387.0,757.0,51.1,161.55
eZj5n8ScTkI_seg004,4.0,-33.86,31.35,0.0461000017821788,26.13,1606.0799560546875,82.56,17.44,195.26,0.0191,0.1019,0.01653,0.0001,0.0331,6e-05,26.0,neutral,3.8,0.0,0.0,7.7,50.0,34.6,3.8,sad,0.61,0.2,0.546,0.115,0.134,0.091,0.111,0.465,0.239,0.374,0.93,1.1,0.269,0.408,0.848,1.007,0.304,0.239,0.811,0.546,0.93,0.00461,0.0025,0.25133,133.0,764.0,17.4,137.52
eZj5n8ScTkI_seg005,3.0,-34.38,32.62,0.0461000017821788,25.86,1589.56005859375,81.11,18.89,211.54,0.0236,0.1143,0.01517,0.00016,0.03264,3e-05,26.0,sad,11.5,0.0,3.8,30.8,15.4,38.5,0.0,angry,0.316,0.206,0.718,0.085,0.217,0.084,0.083,0.608,0.209,0.198,0.425,1.178,0.197,0.21,0.696,0.578,0.251,0.209,0.523,0.718,0.425,0.02199,0.02795,0.25761,176.0,777.0,22.7,148.1
eZj5n8ScTkI_seg006,3.0,-30.65,24.92,0.0524999983608722,17.98,1628.4100341796875,90.83,9.17,236.3,0.0231,0.1055,0.01888,0.00016,0.03075,3e-05,26.0,neutral,19.2,0.0,0.0,3.8,42.3,26.9,7.7,sad,0.461,0.145,0.421,0.118,0.077,0.178,0.118,0.462,0.209,0.199,0.845,1.209,0.231,0.208,0.959,0.879,0.396,0.209,0.606,0.421,0.845,0.05605,0.01293,0.18138,548.0,777.0,70.5,162.91
eZj5n8ScTkI_seg008,2.0,-32.77,31.63,0.0516000017523765,23.5,1595.0699462890625,83.56,16.44,208.16,0.0233,0.1113,0.01749,0.00015,0.02888,5e-05,25.0,sad,28.0,0.0,4.0,20.0,16.0,28.0,4.0,sad,0.344,0.155,0.369,0.098,0.126,0.108,0.07,0.56,0.255,0.201,1.038,1.037,0.184,0.19,0.749,0.714,0.214,0.255,0.5,0.369,1.038,0.02296,0.00592,0.3045,363.0,749.0,48.5,144.18
eZj5n8ScTkI_seg009,3.0,-31.36,25.91,0.0509999990463256,19.83,1583.5,86.24,13.76,214.54,0.0244,0.1059,0.01238,5e-05,0.02487,1e-05,25.0,angry,32.0,0.0,8.0,32.0,16.0,12.0,0.0,sad,0.355,0.102,0.352,0.072,0.177,0.115,0.096,0.386,0.241,0.224,0.871,1.2,0.384,0.308,0.717,0.7,0.292,0.241,0.457,0.352,0.871,0.04559,0.00759,0.31413,461.0,722.0,63.9,147.56
eZj5n8ScTkI_seg010,3.0,-30.66,25.0,0.0577999986708164,19.66,1591.25,86.81,13.19,210.0,0.0219,0.1074,0.01046,6e-05,0.02544,1e-05,25.0,angry,52.0,0.0,0.0,12.0,16.0,20.0,0.0,sad,0.235,0.153,0.278,0.038,0.041,0.15,0.14,0.145,0.085,0.077,1.056,1.582,0.214,0.317,0.644,1.024,0.21,0.085,0.388,0.278,1.056,0.00901,0.01041,0.18587,706.0,748.0,94.4,152.07
eZj5n8ScTkI_seg012,2.0,-31.99,27.78,0.0544999986886978,21.87,1623.56005859375,84.15,15.85,213.8,0.0235,0.1016,0.01393,0.0001,0.02701,3e-05,26.0,sad,30.8,0.0,0.0,0.0,23.1,46.2,0.0,sad,0.152,0.091,0.155,0.063,0.04,0.083,0.074,0.14,0.081,0.116,0.893,0.911,0.204,0.205,0.526,0.733,0.181,0.081,0.243,0.155,0.893,0.01159,0.01179,0.22023,437.0,776.0,56.3,148.29
eZj5n8ScTkI_seg013,3.0,-30.11,25.41,0.0595999993383884,19.11,1592.2099609375,89.68,10.32,217.61,0.0227,0.1067,0.02393,0.00024,0.04334,5e-05,25.0,sad,8.0,24.0,4.0,12.0,8.0,44.0,0.0,sad,0.135,0.062,0.122,0.021,0.088,0.11,0.039,0.128,0.061,0.09,0.339,0.421,0.149,0.09,0.384,0.259,0.082,0.061,0.196,0.122,0.339,0.0076,0.02615,0.07515,337.0,725.0,46.5,158.68
eZj5n8ScTkI_seg014,3.0,-32.53,30.28,0.050900001078844,22.2,1601.1600341796875,85.7,14.3,202.62,0.0231,0.1035,0.01622,0.00012,0.03372,6e-05,26.0,happy,15.4,0.0,7.7,42.3,19.2,11.5,3.8,surprised,0.633,0.111,0.561,0.113,0.089,0.113,0.098,0.513,0.225,0.282,0.699,1.097,0.134,0.164,0.664,0.681,0.233,0.225,0.744,0.561,0.699,0.0224,0.019,0.20303,293.0,760.0,38.6,145.79
eZj5n8ScTkI_seg015,3.0,-34.23,32.81,0.0456999987363815,27.76,1628.780029296875,81.39,18.61,205.45,0.0229,0.102,0.01368,6e-05,0.02949,1e-05,26.0,fear,15.4,0.0,30.8,15.4,19.2,19.2,0.0,sad,0.236,0.087,0.298,0.088,0.108,0.135,0.092,0.14,0.082,0.135,1.194,1.118,0.284,0.202,0.856,1.086,0.317,0.082,0.323,0.298,1.194,0.018,0.01505,0.20758,584.0,758.0,77.0,138.56
eZj5n8ScTkI_seg016,2.0,-32.53,31.29,0.0516999997198581,23.15,1574.719970703125,83.9,16.1,215.54,0.0235,0.1048,0.01604,0.00018,0.03655,0.00013,25.0,sad,12.0,0.0,12.0,8.0,20.0,48.0,0.0,sad,0.473,0.134,0.426,0.079,0.078,0.227,0.105,0.572,0.14,0.158,0.775,1.335,0.163,0.202,0.966,0.779,0.234,0.14,0.607,0.426,0.775,0.02897,0.02692,0.19848,224.0,742.0,30.2,155.19
eZj5n8ScTkI_seg017,3.0,-31.93,30.1,0.0553999990224838,22.36,1609.1400146484375,83.09,16.91,210.92,0.0224,0.1105,0.01462,7e-05,0.0268,1e-05,25.0,fear,16.0,0.0,28.0,16.0,24.0,16.0,0.0,sad,0.575,0.191,0.679,0.071,0.185,0.09,0.086,0.495,0.166,0.26,1.119,1.259,0.197,0.11,0.924,0.795,0.265,0.166,0.765,0.679,1.119,0.02604,0.00478,0.33026,365.0,741.0,49.3,161.22
eZj5n8ScTkI_seg018,2.0,-30.08,25.78,0.0562999993562698,17.56,1613.219970703125,90.38,9.62,209.22,0.0219,0.1087,0.02153,0.00019,0.04089,5e-05,26.0,sad,3.8,0.0,0.0,26.9,19.2,50.0,0.0,surprised,0.57,0.168,0.314,0.086,0.189,0.295,0.113,0.51,0.174,0.171,0.722,1.165,0.23,0.194,0.958,0.791,0.3,0.174,0.738,0.314,0.722,0.00952,0.00847,0.07036,223.0,771.0,28.9,168.07
eZj5n8ScTkI_seg022,3.0,-29.46,23.1,0.0568999983370304,14.89,1630.7900390625,91.83,8.17,206.74,0.0211,0.1016,0.01605,0.00014,0.03148,5e-05,26.0,sad,15.4,0.0,3.8,19.2,19.2,42.3,0.0,sad,0.366,0.109,0.315,0.068,0.109,0.116,0.099,0.522,0.252,0.339,0.656,0.878,0.173,0.236,0.609,0.704,0.173,0.252,0.475,0.315,0.656,0.00947,0.00854,0.30408,379.0,757.0,50.1,182.45
eZj5n8ScTkI_seg023,3.0,-30.79,26.38,0.0577000007033348,19.74,1578.9300537109375,87.56,12.44,203.93,0.022,0.0952,0.02376,0.0004,0.03689,8e-05,27.0,angry,37.0,0.0,0.0,11.1,29.6,22.2,0.0,sad,0.376,0.121,0.463,0.095,0.247,0.302,0.142,0.28,0.195,0.25,0.987,1.314,0.24,0.251,1.028,1.043,0.384,0.195,0.496,0.463,0.987,0.00914,0.01457,0.12128,566.0,781.0,72.5,140.01
eZj5n8ScTkI_seg024,4.0,-30.05,23.97,0.0658000037074089,20.17,1581.8599853515625,86.16,13.84,212.28,0.0228,0.1013,0.02396,0.0002,0.03046,0.00015,26.0,sad,23.1,0.0,3.8,0.0,23.1,30.8,19.2,sad,0.454,0.243,0.348,0.107,0.424,0.624,0.046,1.243,0.539,1.016,0.788,1.153,0.134,0.196,0.724,0.87,0.416,0.539,0.697,0.348,0.788,0.00802,0.00752,0.31376,400.0,759.0,52.7,164.93
eZj5n8ScTkI_seg025,3.0,-28.26,22.44,0.0640999972820282,13.41,1625.989990234375,93.84,6.16,229.18,0.024,0.1071,0.01943,0.00027,0.0401,0.00035,25.0,sad,20.0,0.0,16.0,8.0,24.0,32.0,0.0,sad,0.558,0.175,0.588,0.106,0.149,0.183,0.158,0.546,0.241,0.223,1.37,1.555,0.253,0.328,1.195,1.309,0.334,0.241,0.733,0.588,1.37,0.00815,0.00983,0.3333,462.0,725.0,63.7,156.9
eZj5n8ScTkI_seg026,3.0,-30.06,23.85,0.0639000013470649,18.08,1586.719970703125,86.38,13.62,229.98,0.0238,0.1053,0.03643,0.00065,0.06552,0.00029,27.0,sad,22.2,0.0,0.0,3.7,14.8,55.6,3.7,angry,0.253,0.193,0.577,0.103,0.298,0.633,0.158,0.889,0.355,0.587,0.422,0.809,0.121,0.282,0.801,0.61,0.191,0.355,0.446,0.577,0.422,0.00182,0.00114,0.08118,259.0,782.0,33.1,169.27
eZj5n8ScTkI_seg027,3.0,-28.81,21.47,0.0641999989748001,15.42,1563.280029296875,89.58,10.42,229.38,0.0213,0.103,0.01431,5e-05,0.02612,7e-05,26.0,angry,50.0,0.0,11.5,3.8,15.4,11.5,7.7,sad,0.49,0.224,0.755,0.132,0.261,0.747,0.148,0.759,0.331,0.433,1.746,2.041,0.244,0.198,0.893,1.366,0.438,0.331,0.715,0.755,1.746,0.00718,0.00689,0.31824,519.0,780.0,66.5,151.25
eZj5n8ScTkI_seg028,2.0,-30.81,26.9,0.0612000003457069,21.8,1544.5,85.82,14.18,199.5,0.022,0.1045,0.04145,0.00083,0.06656,0.00019,26.0,sad,3.8,0.0,0.0,23.1,23.1,46.2,3.8,surprised,0.738,0.242,0.429,0.077,0.603,1.029,0.056,1.656,0.481,1.029,0.939,0.801,0.189,0.283,0.555,0.694,0.306,0.481,0.98,0.429,0.939,0.02977,0.0257,0.1692,288.0,756.0,38.1,161.75
eZj5n8ScTkI_seg029,3.0,-33.56,33.64,0.0529999993741512,27.29,1703.7099609375,80.13,19.87,224.38,0.0227,0.0973,0.03799,0.00068,0.06859,0.00016,26.0,angry,42.3,0.0,3.8,15.4,15.4,23.1,0.0,surprised,0.399,0.065,0.333,0.044,0.116,0.096,0.099,0.408,0.208,0.121,0.286,0.717,0.14,0.138,0.551,0.365,0.147,0.208,0.464,0.333,0.286,0.04072,0.02062,1.0372,108.0,775.0,13.9,133.62
guXxy8LH2QM_seg000,4.0,-30.13,29.91,0.0644000023603439,19.16,1621.239990234375,86.14,13.86,137.09,0.0247,0.1052,0.01134,4e-05,0.02243,1e-05,33.0,neutral,3.0,0.0,15.2,15.2,57.6,9.1,0.0,happy,0.265,0.096,0.012,0.064,0.419,0.486,0.101,0.597,0.763,0.364,0.303,0.788,0.14,0.375,0.598,0.873,0.156,0.763,0.361,0.012,0.303,0.01743,0.01482,0.25372,820.0,961.0,85.3,162.87
guXxy8LH2QM_seg001,3.0,-31.48,28.38,0.0648000016808509,25.95,1551.06005859375,80.57,19.43,132.15,0.0294,0.1163,0.00769,2e-05,0.02564,0.0,31.0,sad,0.0,0.0,19.4,12.9,22.6,45.2,0.0,surprised,0.34,0.065,0.028,0.047,0.027,0.143,0.044,0.267,0.206,0.145,0.072,0.586,0.076,0.359,0.614,1.048,0.085,0.206,0.405,0.028,0.072,0.02044,0.01663,0.25954,472.0,908.0,52.0,176.35
guXxy8LH2QM_seg002,2.0,-33.59,37.38,0.0533000007271766,30.93,1589.530029296875,80.97,19.03,130.87,0.0249,0.106,0.00986,4e-05,0.02436,1e-05,31.0,neutral,9.7,0.0,16.1,19.4,48.4,0.0,6.5,happy,0.548,0.14,0.1,0.076,0.355,0.444,0.098,0.987,0.796,0.255,0.177,0.568,0.138,0.155,0.698,1.364,0.232,0.796,0.688,0.1,0.177,0.01862,0.01617,0.24686,910.0,912.0,99.8,151.82
guXxy8LH2QM_seg003,3.0,-32.42,30.23,0.0615000016987323,27.54,1643.780029296875,78.55,21.45,133.75,0.0257,0.1084,0.01077,5e-05,0.0247,1e-05,32.0,neutral,3.1,0.0,21.9,12.5,46.9,12.5,3.1,happy,0.374,0.108,0.118,0.064,0.263,0.376,0.145,0.453,0.538,0.134,0.2,0.931,0.154,0.447,0.74,1.061,0.232,0.538,0.482,0.118,0.2,0.01332,0.01202,0.28643,647.0,931.0,69.5,160.33
guXxy8LH2QM_seg004,4.0,-29.76,26.07,0.0680999979376792,22.97,1688.56005859375,86.89,13.11,137.5,0.0229,0.1058,0.02146,9e-05,0.04363,3e-05,31.0,neutral,9.7,0.0,29.0,9.7,35.5,16.1,0.0,surprised,0.608,0.261,0.289,0.093,0.208,0.371,0.113,1.085,0.822,0.08,0.207,0.845,0.245,0.302,0.696,1.052,0.194,0.822,0.869,0.289,0.207,0.00629,0.00587,0.12716,563.0,906.0,62.1,168.82
guXxy8LH2QM_seg005,3.0,-29.11,25.58,0.0666999965906143,20.27,1632.9000244140625,88.8,11.2,133.21,0.0265,0.1152,0.00942,4e-05,0.02342,0.0,30.0,neutral,3.3,0.0,30.0,10.0,33.3,23.3,0.0,happy,0.303,0.081,0.089,0.062,0.125,0.248,0.081,0.402,0.484,0.113,0.153,0.47,0.125,0.135,0.444,0.733,0.173,0.484,0.385,0.089,0.153,0.01684,0.01455,0.26366,775.0,900.0,86.1,189.94
guXxy8LH2QM_seg006,3.0,-31.62,29.26,0.0599999986588954,25.63,1687.1400146484375,81.84,18.16,138.7,0.0275,0.1159,0.00849,4e-05,0.02376,1e-05,32.0,neutral,9.4,0.0,12.5,12.5,46.9,6.2,12.5,surprised,0.285,0.168,0.235,0.049,0.031,0.258,0.082,0.516,0.339,0.23,0.131,0.672,0.123,0.125,0.468,0.854,0.161,0.339,0.453,0.235,0.131,0.01867,0.01362,0.22766,792.0,932.0,85.0,175.73
guXxy8LH2QM_seg007,2.0,-31.14,28.75,0.063799999654293,24.16,1633.510009765625,82.61,17.39,134.13,0.0258,0.1125,0.01182,4e-05,0.02239,1e-05,33.0,neutral,18.2,0.0,15.2,9.1,45.5,0.0,12.1,happy,0.3,0.102,0.158,0.072,0.144,0.546,0.086,0.32,0.462,0.239,0.319,1.033,0.156,0.174,0.572,0.631,0.205,0.462,0.402,0.158,0.319,0.01768,0.01648,0.25895,864.0,978.0,88.3,182.04
guXxy8LH2QM_seg008,3.0,-32.05,33.98,0.0577000007033348,26.73,1644.6400146484375,82.22,17.78,141.11,0.0265,0.1138,0.00724,4e-05,0.02142,1e-05,31.0,neutral,0.0,0.0,16.1,6.5,58.1,16.1,3.2,happy,0.232,0.091,0.083,0.061,0.309,0.382,0.064,0.715,0.708,0.288,0.101,0.773,0.107,0.319,0.505,1.103,0.213,0.708,0.323,0.083,0.101,0.00472,0.00483,0.2715,523.0,926.0,56.5,169.04
guXxy8LH2QM_seg009,3.0,-30.61,26.25,0.0640000030398368,23.67,1617.31005859375,82.55,17.45,132.04,0.023,0.1017,0.01024,4e-05,0.02313,0.0,32.0,neutral,9.4,0.0,3.1,31.2,43.8,9.4,3.1,happy,0.266,0.093,0.092,0.077,0.409,0.762,0.072,0.959,0.871,0.473,0.196,0.941,0.143,0.24,0.59,1.068,0.174,0.871,0.359,0.092,0.196,0.01954,0.01675,0.25511,957.0,959.0,99.8,165.1
guXxy8LH2QM_seg010,4.0,-33.92,34.74,0.0599999986588954,32.03,1660.8599853515625,74.39,25.61,134.91,0.0246,0.104,0.01162,4e-05,0.02321,1e-05,34.0,neutral,2.9,0.0,11.8,5.9,61.8,8.8,8.8,happy,0.291,0.141,0.073,0.07,0.258,0.425,0.063,0.294,0.481,0.211,0.191,0.789,0.202,0.212,0.643,1.11,0.181,0.481,0.432,0.073,0.191,0.01937,0.01674,0.26837,990.0,991.0,99.9,157.94
hJnEQCMA5Sg_seg002,2.0,-24.33,19.28,0.0916000008583068,7.99,1533.6600341796875,94.99,5.01,183.27,0.0235,0.1126,0.00923,5e-05,0.03125,4e-05,25.0,neutral,12.0,0.0,4.0,12.0,56.0,16.0,0.0,surprised,0.601,0.15,0.002,0.061,0.13,0.715,0.097,0.124,0.738,0.133,0.163,0.529,0.134,0.201,0.978,0.739,0.504,0.738,0.751,0.002,0.163,0.02814,0.00444,0.52474,49.0,732.0,6.7,212.32
hJnEQCMA5Sg_seg004,3.0,-28.09,26.9,0.0846000015735626,19.8,1565.3399658203125,84.4,15.6,184.43,0.0243,0.1064,0.00961,6e-05,0.0245,1e-05,26.0,neutral,0.0,0.0,19.2,3.8,42.3,30.8,3.8,surprised,0.216,0.097,0.007,0.042,0.048,0.455,0.093,0.032,0.154,0.036,0.116,0.516,0.106,0.146,0.783,0.516,0.265,0.154,0.313,0.007,0.116,6e-05,0.0023,0.18286,434.0,756.0,57.4,157.89
hJnEQCMA5Sg_seg005,3.0,-27.56,26.8,0.0804999992251396,17.56,1587.719970703125,87.25,12.75,193.51,0.026,0.1107,0.01164,9e-05,0.03117,3e-05,25.0,neutral,24.0,0.0,12.0,8.0,32.0,24.0,0.0,surprised,0.572,0.225,0.019,0.079,0.191,0.63,0.111,0.144,0.655,0.099,0.151,0.572,0.125,0.142,0.904,0.696,0.367,0.655,0.798,0.019,0.151,0.00793,0.00203,0.21283,297.0,734.0,40.5,170.59
hJnEQCMA5Sg_seg006,2.0,-27.16,24.43,0.0816999971866607,16.78,1640.3900146484375,87.66,12.34,198.65,0.0272,0.1066,0.01107,6e-05,0.0251,2e-05,25.0,neutral,12.0,0.0,12.0,0.0,40.0,36.0,0.0,surprised,0.228,0.095,0.044,0.049,0.12,0.595,0.085,0.11,0.261,0.091,0.133,0.479,0.108,0.132,0.75,0.522,0.286,0.261,0.322,0.044,0.133,0.03883,0.02086,0.23842,288.0,735.0,39.2,156.66
hJnEQCMA5Sg_seg007,2.0,-26.92,25.62,0.0828000009059906,15.91,1643.97998046875,88.36,11.64,183.49,0.0249,0.1058,0.00669,2e-05,0.02222,3e-05,26.0,neutral,0.0,0.0,11.5,0.0,46.2,42.3,0.0,surprised,0.492,0.223,0.147,0.076,0.05,0.34,0.132,0.097,0.162,0.154,0.176,0.62,0.203,0.158,0.798,0.657,0.186,0.162,0.715,0.147,0.176,0.00212,0.00224,0.13368,469.0,767.0,61.1,165.21
hJnEQCMA5Sg_seg010,3.0,-25.49,23.62,0.0957000032067298,14.69,1565.699951171875,88.48,11.52,197.61,0.0256,0.1078,0.01079,7e-05,0.03331,4e-05,27.0,sad,3.7,0.0,18.5,11.1,29.6,37.0,0.0,happy,0.387,0.125,0.018,0.078,0.205,0.597,0.11,0.148,0.726,0.083,0.224,0.588,0.109,0.16,0.836,0.614,0.363,0.726,0.512,0.018,0.224,0.00903,0.0096,0.19868,287.0,781.0,36.7,191.65
hJnEQCMA5Sg_seg011,3.0,-28.1,28.16,0.0813999995589256,20.07,1519.7900390625,83.84,16.16,194.73,0.0262,0.105,0.0109,5e-05,0.03224,4e-05,25.0,fear,8.0,0.0,48.0,0.0,28.0,16.0,0.0,happy,0.348,0.105,0.0,0.064,0.115,0.376,0.049,0.069,0.505,0.076,0.091,0.358,0.116,0.137,0.432,0.409,0.25,0.505,0.453,0.0,0.091,0.02135,0.00386,0.21323,148.0,739.0,20.0,161.53
hJnEQCMA5Sg_seg012,3.0,-25.99,22.47,0.0859000012278556,12.01,1598.25,90.19,9.81,193.53,0.0252,0.1073,0.00845,4e-05,0.02915,4e-05,26.0,neutral,7.7,0.0,7.7,7.7,42.3,34.6,0.0,surprised,0.252,0.115,0.018,0.064,0.053,0.325,0.056,0.063,0.241,0.071,0.118,0.269,0.073,0.078,0.482,0.425,0.173,0.241,0.367,0.018,0.118,0.01281,0.00539,0.09863,316.0,756.0,41.8,175.18
hJnEQCMA5Sg_seg013,3.0,-26.41,22.68,0.0842000022530555,15.31,1603.5799560546875,87.7,12.3,178.05,0.0234,0.108,0.00879,3e-05,0.02774,6e-05,25.0,sad,24.0,0.0,0.0,16.0,12.0,48.0,0.0,surprised,0.292,0.081,0.067,0.034,0.117,0.287,0.061,0.101,0.257,0.025,0.083,0.264,0.049,0.102,0.348,0.254,0.175,0.257,0.374,0.067,0.083,0.03551,0.02176,0.25609,125.0,749.0,16.7,182.46
hJnEQCMA5Sg_seg014,3.0,-27.99,28.53,0.0795999988913536,19.01,1613.9100341796875,85.03,14.97,195.23,0.0262,0.1132,0.00944,5e-05,0.0311,3e-05,26.0,fear,0.0,0.0,42.3,7.7,34.6,15.4,0.0,surprised,0.486,0.273,0.012,0.064,0.169,0.422,0.095,0.105,0.62,0.125,0.128,0.557,0.1,0.132,0.524,0.427,0.213,0.62,0.759,0.012,0.128,0.01067,0.00126,0.21322,167.0,764.0,21.9,182.62
hJnEQCMA5Sg_seg016,2.0,-26.78,25.16,0.0850000008940696,16.61,1628.1600341796875,88.17,11.83,170.6,0.0248,0.1081,0.0,0.0,0.0,0.0,26.0,neutral,3.8,0.0,11.5,0.0,69.2,15.4,0.0,surprised,0.164,0.071,0.019,0.036,0.013,0.408,0.098,0.028,0.131,0.045,0.118,0.391,0.072,0.067,0.54,0.326,0.141,0.131,0.235,0.019,0.118,0.00033,0.00091,0.18573,486.0,761.0,63.9,168.35
hJnEQCMA5Sg_seg017,2.0,-25.49,21.54,0.0894000008702278,12.88,1563.760009765625,90.25,9.75,195.44,0.0266,0.1136,0.01057,5e-05,0.02746,6e-05,25.0,fear,8.0,0.0,60.0,4.0,4.0,24.0,0.0,surprised,0.295,0.111,0.025,0.046,0.078,0.381,0.048,0.061,0.223,0.023,0.098,0.254,0.06,0.093,0.46,0.365,0.246,0.223,0.407,0.025,0.098,0.05897,0.02082,0.44044,21.0,746.0,2.8,175.62
